Time (s),Left,,,Right,,
,Hip x,Knee x,Ankle x,Hip x,Knee x,Ankle x
0,-22.13239577,37.17631431,-14.7713893,10.05348726,11.51209333,0.949643487
0.01,-20.37016944,37.885281,-14.45500598,9.613973192,10.88945087,0.943917167
0.02,-18.61081321,38.59162978,-14.13870606,9.169853511,10.27023838,0.935146032
0.03,-16.85719718,39.29274271,-13.82257294,8.721370616,9.654275339,0.923490336
0.04,-15.11219147,39.98600189,-13.50669001,8.268766906,9.041381217,0.909110332
0.05,-13.37866615,40.66878938,-13.19114066,7.812284784,8.431375493,0.892166273
0.06,-11.65949135,41.33848728,-12.87600831,7.352166649,7.82407764,0.872818413
0.07,-9.957537166,41.99247767,-12.56137633,6.888654903,7.219307134,0.851227005
0.08,-8.275673692,42.62814262,-12.24732814,6.421991946,6.616883451,0.827552303
0.09,-6.616771034,43.24286421,-11.93394712,5.95242018,6.016626065,0.80195456
0.1,-4.983699294,43.83402452,-11.62131668,5.480182004,5.418354452,0.774594029
0.11,-3.379328575,44.39900565,-11.30952021,5.00551982,4.821888087,0.745630964
0.12,-1.806528978,44.93518965,-10.99864111,4.528676029,4.227046445,0.715225619
0.13,-0.268170605,45.43995863,-10.68876277,4.049893031,3.633649002,0.683538246
0.14,1.232876442,45.91069465,-10.3799686,3.569413228,3.041515232,0.650729099
0.15,2.69374206,46.3447798,-10.07234199,3.087479019,2.450464611,0.616958432
0.16,4.111556148,46.73959616,-9.765966337,2.604332806,1.860316613,0.582386497
0.17,5.483448604,47.0925258,-9.460925038,2.120216991,1.270890715,0.547173549
0.18,6.806549325,47.40095082,-9.157301492,1.635373972,0.682006391,0.511479841
0.19,8.07798821,47.66225328,-8.855179096,1.150046152,0.093483117,0.475465626
0.2,9.294895156,47.87381528,-8.554641246,0.664475932,-0.494859632,0.439291157
0.21,10.45440006,48.03301888,-8.255771339,0.296784453,0.112739948,0.193957602
0.22,11.55363282,48.13724618,-7.958652774,-0.070907026,0.720339527,-0.051375954
0.23,12.58972334,48.18387925,-7.663368946,-0.438598506,1.327939107,-0.29670951
0.24,13.55980152,48.17030017,-7.370003254,-0.806289985,1.935538687,-0.542043065
0.25,14.46099724,48.09389103,-7.078639094,-1.173981464,2.543138266,-0.787376621
0.26,15.29131631,47.95296671,-6.789385482,-1.541672943,3.150737846,-1.032710177
0.27,16.05226814,47.74957337,-6.50245391,-1.909364422,3.758337426,-1.278043732
0.28,16.74623801,47.48668999,-6.218081487,-2.277055901,4.365937006,-1.523377288
0.29,17.37561123,47.16729553,-5.936505322,-2.64474738,4.973536585,-1.768710844
0.3,17.94277311,46.79436896,-5.657962526,-3.012438859,5.581136165,-2.0140444
0.31,18.45010894,46.37088924,-5.382690207,-3.380130338,6.188735745,-2.259377955
